filename,Correct,Human
image_0039.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0040.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0041.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0042.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0043.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0044.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0045.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0046.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0047.jpg,FIRST NOT FOUND,FIRST IDENTIFY
image_0048.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0049.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0050.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0051.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0052.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0053.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0054.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0055.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0056.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0057.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0058.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0059.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0060.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0061.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0062.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0063.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0064.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0065.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0066.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0067.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0068.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0069.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0070.jpg,CONFUSION NOT IN FIRST,CONFUSION IN FIRST
image_0071.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0072.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0073.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0074.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0075.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0076.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0077.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0078.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0079.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0080.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0081.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0082.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0083.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0084.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0085.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0086.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0087.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0088.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0089.jpg,FIRST NOT FOUND,FIRST IDENTIFY
image_0090.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0091.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0092.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0093.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0094.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0095.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0096.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0097.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0098.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0099.jpg,FIRST NOT FOUND,FIRST IDENTIFY
image_0100.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0101.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0102.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0103.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0104.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0105.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0106.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0107.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0108.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0109.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0110.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0111.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0112.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0113.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0114.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0115.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0116.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0117.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0118.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0119.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0120.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0121.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0122.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0123.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0124.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0125.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0126.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0127.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0128.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0129.jpg,CONFUSION IN FIRST,CONFUSION NOT IN FIRST
image_0130.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0131.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0132.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0133.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0134.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0135.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0136.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0137.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0138.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0139.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0140.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0141.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0142.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0143.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0144.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0145.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0146.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0147.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0148.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0149.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0150.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0151.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0152.jpg,CONFUSION NOT IN FIRST,CONFUSION IN FIRST
image_0153.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0154.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0155.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0156.jpg,FIRST NOT FOUND,FIRST IDENTIFY
image_0157.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0158.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0159.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0160.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0161.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0162.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0163.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0164.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0165.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0166.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0167.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0168.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0169.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0170.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0171.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0172.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0173.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0174.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0175.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0176.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0177.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0178.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0179.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0180.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0181.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0182.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0183.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0184.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0185.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0186.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0187.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0188.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0189.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0190.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0191.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0192.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0193.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0194.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0195.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0196.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0197.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0198.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0199.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0200.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0201.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0202.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0203.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0204.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0205.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0206.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0207.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0208.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0209.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0210.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0211.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0212.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0213.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0214.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0215.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0216.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0217.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0218.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0219.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0220.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0221.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0222.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0223.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0224.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0225.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0226.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0227.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0228.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0229.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0230.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0231.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0232.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0233.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0234.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0235.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0236.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0237.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0238.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0239.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0240.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0241.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0242.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0243.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0244.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0245.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0246.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0247.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0248.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0249.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0250.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0251.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0252.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0253.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0254.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0255.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0256.jpg,CONFUSION IN FIRST,HUMAN AND NOT CONFUSION
image_0257.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0258.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0259.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0260.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0261.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0262.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0263.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0264.jpg,CONFUSION IN FIRST,HUMAN AND NOT CONFUSION
image_0265.jpg,CONFUSION IN FIRST,CONFUSION NOT IN FIRST
image_0266.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0267.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0268.jpg,FIRST NOT FOUND,FIRST IDENTIFY
image_0269.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0270.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0271.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0272.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0273.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0274.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0275.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0276.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0277.jpg,FIRST NOT FOUND,FIRST IDENTIFY
image_0278.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0279.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0280.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0281.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0282.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0283.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0284.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0285.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0286.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0287.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0288.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0289.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0290.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0291.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0292.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0293.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0294.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0295.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0296.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0297.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0298.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0299.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0300.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0301.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0302.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0303.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0304.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0305.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0306.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0307.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0308.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0309.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0310.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0311.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0312.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0313.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0314.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0315.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0316.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0317.jpg,FIRST NOT FOUND,FIRST IDENTIFY
image_0318.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0319.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0320.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0321.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0322.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0323.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0324.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0325.jpg,FIRST NOT FOUND,FIRST IDENTIFY
image_0326.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0327.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0328.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0329.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0330.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0331.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0332.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0333.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0334.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0335.jpg,FIRST AND SECOND,HUMAN IDENTIFY
image_0336.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0337.jpg,FIRST IDENTIFY,HUMAN AND NOT CONFUSION
image_0338.jpg,CONFUSION IN FIRST,CONFUSION NOT IN FIRST
image_0339.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0340.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0341.jpg,FIRST NOT FOUND,FIRST IDENTIFY
image_0342.jpg,FIRST AND SECOND,HUMAN AND CONFUSION
image_0343.jpg,CONFUSION NOT IN FIRST,CONFUSION IN FIRST
image_0344.jpg,CONFUSION NOT IN FIRST,CONFUSION IN FIRST
image_0345.jpg,FIRST AND SECOND,HUMAN AND CONFUSION
image_0346.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0347.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0348.jpg,FIRST AND SECOND,HUMAN AND CONFUSION
image_0349.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0350.jpg,FIRST AND SECOND,HUMAN AND CONFUSION
image_0351.jpg,FIRST AND SECOND,HUMAN AND CONFUSION
image_0352.jpg,CONFUSION NOT IN FIRST,CONFUSION IN FIRST
image_0353.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0354.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0355.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0356.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0357.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0358.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0359.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0360.jpg,FIRST AND SECOND,HUMAN AND CONFUSION
image_0361.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0362.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0363.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0364.jpg,FIRST AND SECOND,HUMAN AND CONFUSION
image_0365.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0366.jpg,CONFUSION NOT IN FIRST,HUMAN AND FIRST AND SECOND
image_0367.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0368.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0369.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0370.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0371.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0372.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0373.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0374.jpg,FIRST AND SECOND,HUMAN AND CONFUSION
image_0375.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0376.jpg,CONFUSION NOT IN FIRST,HUMAN AND FIRST AND SECOND
image_0377.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0378.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0379.jpg,CONFUSION IN FIRST,HUMAN AND NOT CONFUSION
image_0380.jpg,FIRST NOT FOUND,FIRST IDENTIFY
